plate_barcode, layout_type, well_row, well_column, xk_sample_id, concentration, concentration_units, volume, volume_units, solvent
plate_0000106,c13d10,p,8,,,,20,uL,dmso
plate_0000106,c13d10,p,9,,,,20,uL,dmso
plate_0000106,c13d10,p,10,,,,20,uL,dmso
plate_0000106,c13d10,p,11,,,,20,uL,dmso
plate_0000106,c13d10,p,12,,,,20,uL,dmso
plate_0000106,c13d10,p,13,,,,20,uL,dmso
plate_0000106,c13d10,p,14,,,,20,uL,dmso
plate_0000106,c13d10,p,15,,,,20,uL,dmso
plate_0000106,c13d10,p,16,,,,20,uL,dmso
plate_0000106,c13d10,p,17,,,,20,uL,dmso
plate_0000106,c13d10,p,18,,,,20,uL,dmso
plate_0000106,c13d10,p,19,,,,20,uL,dmso
plate_0000106,c13d10,p,20,,,,20,uL,dmso
plate_0000106,c13d10,p,21,,,,20,uL,dmso
plate_0000106,c13d10,p,22,,,,20,uL,dmso
plate_0000106,c13d10,p,23,,,,,,
plate_0000106,c13d10,p,24,,,,,,
